from,to,name,subtitle,departure-time,duration,arrival-time,rating,price,availablity
bhopal,ayodhya,BETRWANTI TRAVELS,AC Sleeper (2 + 1),21:15,15h.45m,13:00,3.5,3799,18 Seats Available
bhopal,ayodhya,BETRWANTI TRAVELS,NON-AC Sleeper (2 + 1),19:15,14h.45m,10:00,3.5,2299,13 Seats Available
bhopal,ayodhya,BETRWANTI TRAVELS,NON-AC Sleeper (2 + 1),19:15,13h.45m,09:00,3.5,2299,15 Seats Available
bhopal,ayodhya,BETRWANTI TRAVELS,AC Sleeper (2 + 1),21:15,16h,13:15,3.5,3799,13 Seats Available
bhopal,ayodhya,Shivansh Travels,AC Sleeper (2 + 1),19:00,16h.30m,11:30,,2900,30 Seats Available
bhopal,ayodhya,NTC Smart Bus,AC Sleeper (2 + 1),22:00,34h,08:00,,"4,800",21 Seats Available
bhopal,ayodhya,Shivansh Travels,AC Sleeper (2 + 1),19:00,15h.55m,10:55,,2900,30 Seats Available
bhopal,ayodhya,Sunil Tour and Travels,AC Sleeper (2 + 1),13:00,18h,07:00,,"1,899",30 Seats Available
bhopal,ayodhya,Sunil Tour and Travels,"2+2, Sleeper, NON-AC",21:00,17h.30m,14:30,,"1,499",40 Seats Available
bhopal,ayodhya,Sunil Tour and Travels,AC Sleeper (2 + 1),22:15,17h.30m,15:45,,"1,799",30 Seats Available
bhopal,indore,SANJAY TRAVELS (INDORE),Ashok Leyland AC Sleeper,06:50,03h.20m,10:10,4.2,"1,100",36 Seats Available
bhopal,indore,Chouhan Tours and Travels,NON-AC Seater (3 + 2),13:50,04h.20m,18:10,,255,15 Seats Available
bhopal,indore,Bhaiya Travels,AC Sleeper (2 + 1),05:30,04h.30m,10:00,4.6,"2,000",36 Seats Available
bhopal,indore,Vishvas Transport Services Private Limited,AC Sleeper (2 + 1),02:30,04h,06:30,,499,20 Seats Available
bhopal,indore,BETRWANTI TRAVELS,AC Sleeper (2 + 1),05:30,03h.30m,09:00,,1440,14 Seats Available
bhopal,indore,Chouhan Tours and Travels,NON-AC Seater (2 + 2),13:40,03h.50m,17:30,,298,18 Seats Available
bhopal,indore,Chouhan Tours and Travels,NON-AC Seater (3 + 2),14:10,05h,19:10,,255,12 Seats Available
bhopal,indore,Gajraj Travels,"2+1, Sleeper with Washroom, AC, Non-Video",03:45,04h.15m,08:00,4.5,"1,500",33 Seats Available
bhopal,indore,Barkoti Travels,"2+1, Sleeper-Seater, NON-AC",02:25,03h.40m,06:05,,600,42 Seats Available
bhopal,indore,Om Shanti Travels,AC Sleeper (2 + 1),02:30,03h.30m,06:00,4.5,750,20 Seats Available
bhopal,indore,Bhaiya Travels,AC Sleeper (2 + 1),03:00,02h,05:00,4.6,"8,500",36 Seats Available
bhopal,indore,Shree Devnarayan Travels,NON-AC Seater/Sleeper (2 + 1),14:00,04h.30m,18:30,4.5,"2,500",16 Seats Available
bhopal,indore,National Travels (Abd),AC Sleeper (2 + 1),18:55,03h.50m,22:45,,"1,300",25 Seats Available
bhopal,indore,B.R. Travels,Ashok Leyland AC Sleeper,18:00,04h.55m,22:55,4.5,"2,382",36 Seats Available
bhopal,indore,Ashok Bus Service,AC Seater/Sleeper (2 + 1),19:00,04h.15m,23:15,4.5,360,38 Seats Available
bhopal,indore,Ashok Bus Service,"2+1, Sleeper-Seater, NON-AC, Non-Video",17:20,04h.25m,21:45,4.5,450,37 Seats Available
bhopal,indore,Barkoti Travels,"2+1, Sleeper-Seater, NON-AC",01:30,03h.30m,05:00,,650,42 Seats Available
bhopal,indore,Guru Saheb Tour and Travels,"2+1, Sleeper, NON-AC",03:30,03h.30m,07:00,,700,30 Seats Available
bhopal,indore,Raaj Rath Travels Co.,AC Seater/Sleeper (2 + 1),05:45,04h.10m,09:55,4.3,"1,801",34 Seats Available
bhopal,indore,Bhaiya Travels,Bharat Benz AC Sleeper (2 + 1),21:30,02h.50m,00:20,4.6,700,36 Seats Available
bhopal,indore,Jai Bhawani Travels,Bharat Benz AC Sleeper (2 + 1),06:10,03h.20m,09:30,,"2,599",15 Seats Available
bhopal,indore,Raj Ratan Tours & Travels,Bharat Benz AC Sleeper (2 + 1),15:15,05h,20:15,4.5,539,19 Seats Available
bhopal,indore,NueGo (Partnered by Verma Travels),AC Seater Electric (2 + 2),22:00,04h.10m,02:10,4.4,290,20 Seats Available
