Agency Name,Type of service,Rating,Address,Contact details,Status,website,Reviews
Riddhi Tour and Travels,· Taxi service,4.8,21 Nanakheda Road,· 098930 03242,Open 24 hours,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj01sCf5o2MAxW_o2YCHXMSAmAYABAIGgJzbQ&co=1&gclid=Cj0KCQjwytS-BhCKARIsAMGJyzqG_8ZS9XFIXWRVhPMkw0YCjyaSxzFxeBYxPDCdSWxEhccOACS3GWgaArbvEALw_wcB&ohost=www.google.com&cid=CAESVeD2SnwYqGQndL0Ltzd4idavhHhSvsD4UNMz4KoNpxtXgjkPQ5YIfbk9YfQgbUF1iEl59zohmoAvAZBkC1Y4fc12kLb7QUygrKCaozOVeX1kb58hs7k&sig=AOD64_1ukfoRth-us9bhQ5nGXSGgUdCc3Q&q=&ctype=99&ved=2ahUKEwjbjruf5o2MAxUOzjgGHSMeJU0QhKwBegQIIBAP&adurl=,
Mahakal Tour & Travels | Car Rental | Cab Booking in Ujjain,· Car leasing service,4.9,"MIG-ll 46, Agar Rd",· 091092 82779,Open 24 hours,https://mahakaltourtravels.com/,"""The car was clean and easy to ride in. Booking with them was easy too."""
Chajju Taxi,· Car rental agency,4.4,"Shop No.2, Dewas Gate Bus Stand Parisar",095222 22208,,https://chajjutaxi.com/,
"For You Holidays, MP Tourism Office, Ujjain",· Car rental agency,5,"03 Harihar Complex, Sanwer Rd, beside Agrawal Tent house",· 082696 11111,Open,,
kirayepe.co.in,· Car leasing service,4.9,"bus stand, 1/13 JAWAHAR NAGAR",· 089828 47123,Open,https://kirayepe.co.in/,"""Well maintained vehicles and very reasonable rates."""
Mahakal tours & travels Ujjain,· Car leasing service,5,C-42,,Open 24 hours,,"""Awesome service"""
Bike rent in ujjain - ujjain darshan,· Two Wheeler Rental Agency,5,"15, behind Gurudwara",,Open 24 hours,,"""Superb service.. staff was very kind and  was excellent"""
Tanishka Travels,· Car rental agency,4.7,"Hotel maharaja, Indore Rd, opposite hotel mittal avenue",· 097520 78431,Open 24 hours,https://taxiserviceujjain.in/,"""They took me around the city in a comfortable vehicle with reasonable price."""
Tour Travels,· Travel agency,4.9,"101, Dewas Rd",· 094248 70652,Open 24 hours,,"""Good sarvice best  for """
Car rental ujjain,· Car leasing service,3,"5QPM+FFJ, Agar - Ujjain Rd",,Open 24 hours,http://www.indorecartaxi.com/,"""Good car ac available
Drawing"""
Ujjain darshan rental service,· Car rental agency,4.9,Shiv Shakti Nagar,,Open 24 hours,https://bikerentinujjain.blogspot.com/,"""Good and timely service ,available at affordable prices."""
taxi service and car rental,· Taxi service,5,above Indra nager,099817 46580,,,"""The vehicles are clean and comfortable, ensuring a pleasant ride every time."""
Star Travels Ujjain,· Car rental agency,4.2,"13, Dewas gate, Bus Stand",· 089629 67777,Open 24 hours,https://startravelsujjain.com/,
"Darshan Rental Services (DRS) - Two wheeler rental ujjain (scooter, bike on rent)",· Car leasing service,4.9,"gate no. 1, Railway station, near Ujjain",· 088711 06861,Open 24 hours,,"""Good vehicle, affordable price, owner is polite."""
Shri Nakoda Bhairav tour and travels Ujjain,· Car rental agency,3,"178, near mhakal manirujjain",· 094798 15612,Open 24 hours,,"""Best experience"""
Maa gaytri travel,· Car rental agency,4.5,"Ujjain, Madhya Pradesh",· 096692 82189,Open 24 hours,,"""Reasonable fare best services"""
Ujjaini travels and car rental,· Travel agency,4.8,"Railway station, opposite Railwaystation",· 070003 95019,Open 24 hours,,"""Good and affordable service"""
Solanki Travels | Car Rental | Cab Booking in Ujjain,· Taxi service,5,"Tikeshwar Colony Badnagar, Ring Rd",099770 77029,,http://solankitravels.in/,
Devansh tour and Travels Ujjain,· Travel agency,4.9,"3, Gali number 1",· 083580 84630,Open 24 hours,https://www.ujjaintaxitravels.in/,"""Best  service and Very professional drivers"""
Agrawal Tour and Travels,· Taxi service,4.8,68 Atahrav Vihar,089639 45555,,https://agrawaltourandtravels.in/index.php,"""The Ertiga  was clean and comfortable, and the driver was excellent."""
Rudraksh Tour & Travels Ujjain,· Car leasing service,5,"Street no 1, Mahakal Marg, near apang ashram",,Open 24 hours,,
