City,Check-in,Check-out,Hotel Name,Price,Rating,Room Type,Features,Image URL
Ayodhya,,,Hotel Narayan Niwas,"2,520","Scored 5.9
5.9
Review score
120 reviews",Double Room with Private Bathroom,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/641840601.webp?k=80b77373a1aeedf08240e938dda487644e4311426d13c278a8a153183b52f75c&o=
Ayodhya,,,The Nirmal Palace,"2,999","Scored 5.7
5.7
Review score
9 reviews",Deluxe King Room,No prepayment needed,https://cf.bstatic.com/xdata/images/hotel/square600/635671497.webp?k=d8b5bf87dd25a7bb423b96197f5bc55212c9e1b09c86b6e13a01896c7e27afe7&o=
Ayodhya,,,Arya Kulam Palace Ayodhya,"1,800","Scored 6.9
6.9
Review score
137 reviews",Deluxe Double Room (2 Adults + 1 Child),No prepayment needed,https://cf.bstatic.com/xdata/images/hotel/square600/630095908.webp?k=f4b95dfcf4dc4d26e95f581ed24d1d63d93ae54db4f56c1866a25f371d838dbd&o=
Ayodhya,,,Rameshwaram Guest House,"1,960","Scored 7.0
7.0
Good
34 reviews",Deluxe Double Room,No prepayment needed,https://cf.bstatic.com/xdata/images/hotel/square600/630063159.webp?k=6307e40a41d606da28215003bafda4654b1d923bd1aa2e761a01b4f2b26c5996&o=
Ayodhya,,,The Param Residency ,"2,249","Scored 5.2
5.2
Review score
111 reviews",Deluxe Room,No prepayment needed,https://cf.bstatic.com/xdata/images/hotel/square600/614251967.webp?k=071283fefd31922498b10c877b12c71553b1db607f5b32c9a5b3dbc6b8e28b0f&o=
Ayodhya,,,Hotel O Balaji Palace,"1,531","Scored 6.4
6.4
Review score
48 reviews",Classic Triple Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/645345934.webp?k=16c5e9e2c6185f162950b037faceb9b9e2f6208dabb7588a6c545ee925d7e296&o=
Ayodhya,,,Luv Kush Homestay ayodhya,"1,958","Scored 3.5
3.5
Review score
8 reviews",Family Room,No prepayment needed,https://cf.bstatic.com/xdata/images/hotel/square600/625388676.webp?k=bbaf4f9b4734c19b585e13a5235155e49a262713e6651dbdf64caca46bcb8e50&o=
Ayodhya,,,Dashrath Inn near Ramjanmbhoomi,"2,200","Scored 7.5
7.5
Good
50 reviews",Deluxe Room,No prepayment needed,https://cf.bstatic.com/xdata/images/hotel/square600/606568921.webp?k=8e5a8e74624e39c10f9d4fda75336503a772a9747c1dc648c3aa01fb4884ceeb&o=
Ayodhya,,,Hotel Ashoka Aashram ,"2,249","Scored 5.2
5.2
Review score
10 reviews",Deluxe King Room,No prepayment needed,https://cf.bstatic.com/xdata/images/hotel/square600/635707622.webp?k=60a43e3d69a5294f653f4459279953740f749d997b08f970f241cdd3115d4743&o=
Ayodhya,,,Hotel Nirmala Palace,"2,999","Scored 5.3
5.3
Review score
15 reviews",Deluxe Double Room,No prepayment needed,https://cf.bstatic.com/xdata/images/hotel/square600/632074669.webp?k=747307e36f3fa10f04aa775178e40fbe791191c62cba3fd6386436a8c13dc61b&o=
Ayodhya,,,Satyawati homestay ,"1,189",N/A,Double Room with Private Bathroom,No prepayment needed,https://cf.bstatic.com/xdata/images/hotel/square600/652304263.webp?k=e830563a8e645b2ed1f43dc8e12584492382ec42b57f68587eea81ae1dc7f4f1&o=
Ayodhya,,,Aksheta hotels,"2,100","Scored 7.5
7.5
Good
2 reviews",Queen Room,No prepayment needed,https://cf.bstatic.com/xdata/images/hotel/square600/622931532.webp?k=8667797e432725386496d43c6ce016bc522bb06b1fc329642fb102708c7af907&o=
