Departure,Arival,Airline,Duration,Stops,Layover time,layover,Via,layover at,Price,Img
20:50,16:00,Air India,19 hrs 10 min,1 stop,15 hrs 50 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹9,884",https://www.gstatic.com/flights/app/2x/arrow_1.png
08:05,07:20,Air India,23 hrs 15 min,1 stop,20 hrs 20 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹10,140",https://www.gstatic.com/flights/app/2x/arrow_1.png
09:40,07:20,Air India,21 hrs 40 min,1 stop,18 hrs 40 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹10,829",https://www.gstatic.com/flights/app/2x/arrow_1.png
16:40,12:00,Air India,19 hrs 20 min,1 stop,16 hrs 10 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹11,770",https://www.gstatic.com/flights/app/2x/arrow_1.png
07:50,16:00,"Air India Express, Air India",8 hrs 10 min,1 stop,,,DEL,Indira Gandhi International Airport,"₹12,469",https://www.gstatic.com/flights/app/2x/arrow_1.png
07:50,07:20,"Air India Express, Air India",23 hrs 30 min,1 stop,20 hrs 40 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹12,469",https://www.gstatic.com/flights/app/2x/arrow_1.png
16:40,07:20,Air India,14 hrs 40 min,2 stops,5 hrs 45 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹14,558",https://www.gstatic.com/flights/app/2x/arrow_2.png
16:40,07:20,Air India,14 hrs 40 min,2 stops,2 hrs 10 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹14,558",https://www.gstatic.com/flights/app/2x/arrow_2.png
16:40,07:20,Air India,14 hrs 40 min,2 stops,6 hrs 55 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹14,780",https://www.gstatic.com/flights/app/2x/arrow_2.png
16:40,07:20,Air India,14 hrs 40 min,2 stops,6 hrs 45 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹14,808",https://www.gstatic.com/flights/app/2x/arrow_2.png
