status,message,timestamp,data__train_number,data_train_name,data__run_days__001,data__run_days__002,data__run_days__003,data__run_days__004,data__run_days__005,data__run_days__006,data__run_days__007,data__train_src,src,data__train_dstn,dstn,data__from_std,data__from_sta,data__local_train_from_sta,data__to_sta,data__to_std,data__from_day,data__to_day,data__d_day,data__from,data__to,data__from_station_name,data__to_station_name,data__halt_stn,data__distance,data__duration,data__special_train,data__train_type,data__score,data__score_train_type,data__score_booking_requency,data__frequency_perc,data__from_distance_text,data__to_distance_text,data__has_pantry,data__is_monsoon_timing_applicable,data__duration_rating,data__score_duration,data__score_std,data__score_user_preferred,data__train_date,data__class_type__001,data__class_type__002,data__class_type__003,data__class_type__004,data__class_type__005,data__class_type__006
TRUE,Success,1.74E+12,20911,NGP VANDEBHARAT,Mon,Tue,Wed,Thu,Fri,Sat,,INDB,Ujjain,NGP,Bhopal,06:55,06:50,410,09:10,09:15,0,0,0,UJN,BPL,UJJAIN JN,BHOPAL  JN,0,183,02:15,FALSE,MAIL EXPRESS,25,5,0,0,,5 Kms from RKMP,FALSE,FALSE,1,10,10,0,18-03-2025,CC,EC,,,,
,,,12976,Jaipur - Mysuru SF Express,Tue,Thu,,,,,,JP,Ujjain,MYS,Bhopal,04:15,04:05,1685,07:35,07:37,1,1,1,UJN,RKMP,UJJAIN JN,RANI KAMLAPATI,5,190,03:20,FALSE,SUF,23,5,0,0,,,TRUE,FALSE,2,8,10,0,18-03-2025,SL,CC,3E,3A,2A,1A
,,,12919,Malwa SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,DADN,Ujjain,SVDK,Bhopal,14:00,13:45,825,17:20,17:30,0,0,0,UJN,BPL,UJJAIN JN,BHOPAL  JN,7,183,03:20,FALSE,MAIL EXPRESS,23,5,0,0,,5 Kms from RKMP,TRUE,FALSE,2,8,10,0,18-03-2025,SL,3E,3A,2A,,
,,,20846,Bikaner - Bilaspur SF Express,Tue,Sun,,,,,,BKN,Ujjain,BSP,Bhopal,16:30,16:25,985,20:03,20:05,0,0,0,UJN,RKMP,UJJAIN JN,RANI KAMLAPATI,4,189,03:33,FALSE,SUF,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,SL,3E,3A,2A,1A,
,,,19711,Jaipur - Bhopal Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,JP,Ujjain,BPL,Bhopal,07:30,07:20,1880,11:20,11:20,1,1,1,UJN,BPL,UJJAIN JN,BHOPAL JN,9,184,03:50,FALSE,MEX,21,5,0,0,,5 Kms from RKMP,FALSE,FALSE,3,6,10,0,18-03-2025,SL,3E,3A,2A,1A,
,,,11465,Somnath - Jabalpur Express,Tue,Sun,,,,,,SMNH,Ujjain,JBP,Bhopal,02:40,02:30,1590,06:45,07:00,1,1,1,UJN,BPL,UJJAIN JN,BHOPAL JN,9,184,04:05,FALSE,MEX,19,5,0,0,,5 Kms from RKMP,FALSE,FALSE,4,4,10,0,18-03-2025,SL,3E,3A,2A,1A,
,,,19303,Indore - Bhopal Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Ujjain,BPL,Bhopal,00:55,00:40,1480,05:10,05:10,1,1,1,UJN,BPL,UJJAIN JN,BHOPAL JN,10,183,04:15,FALSE,MEX,19,5,0,0,,5 Kms from RKMP,FALSE,FALSE,4,4,10,0,18-03-2025,SL,3A,,,,
,,,18233,Narmada Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Ujjain,BSP,Bhopal,17:55,17:40,1060,22:18,22:20,0,0,0,UJN,RKMP,UJJAIN JN,RANI KAMLAPATI,10,189,04:23,FALSE,MEX,19,5,0,0,,,FALSE,FALSE,4,4,10,0,18-03-2025,SL,3A,2A,1A,,
,,,19339,Intercity Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,DHD,Ujjain,BPL,Bhopal,11:05,11:00,660,16:10,16:10,0,0,0,UJN,BPL,UJJAIN JN,BHOPAL JN,21,184,05:05,FALSE,INT,19,5,0,0,,5 Kms from RKMP,FALSE,FALSE,5,4,10,0,18-03-2025,2S,CC,,,,
TRUE,Success,1.74E+12,20911,NGP VANDEBHARAT,Mon,Tue,Wed,Thu,Fri,Sat,,INDB,Indore,NGP,Bhopal,06:10,06:10,370,09:10,09:15,0,0,0,INDB,BPL,INDORE JN BG,BHOPAL  JN,1,246,03:00,FALSE,MAIL EXPRESS,25,5,0,0,,5 Kms from RKMP,FALSE,FALSE,1,10,10,0,18-03-2025,CC,EC,,,,
